,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median Counts,,,,,,,,,,,,,,,
1,Exp-LDD,4,8,8,6,7,7,5,6,6,7,6,7,2,2,6
2,Exp-VD,5,5,5,8,8,8,9,10,10,7,8,8,7,9,7
3,LDD,15,13,13,15,14,14,13,14,13,14,16,15,7,7,10
4,Orig,5,4,4,5,5,5,4,3,3,4,4,4,8,8,5
5,P-FTD,11,10,10,6,6,6,9,7,8,8,6,6,16,14,12
6,IQR Counts,,,,,,,,,,,,,,,
7,Exp-LDD,14,13,13.0,12,12,12,12,15,14,11,12,12,8,6,8
8,Exp-VD,9,9,9.0,5,6,6,9,7,7,9,11,11,9,9,11
9,LDD,13,14,15.0,13,11,11,15,15,16,15,12,12,1,1,1
10,Orig,3,3,3.0,3,3,3,1,1,1,1,1,1,16,19,15
11,P-FTD,1,1,,7,8,8,3,2,2,4,4,4,6,5,5
12,Log Mean Counts,,,,,,,,,,,,,,,
13,Exp-LDD,5,8,7,7,7,7,7,6,8,7,7,7,3,2,6
14,Exp-VD,6,6,6,7,7,7,6,9,8,7,8,9,6,9,6
15,LDD,15,13,13,14,15,15,13,14,13,14,15,14,6,7,11
16,Orig,3,3,3,6,5,5,4,3,3,4,4,4,9,8,5
17,P-FTD,11,10,11,6,6,6,10,8,8,8,6,6,16,14,12
18,Log StDev Counts,,,,,,,,,,,,,,,
19,Exp-LDD,23.0,22.0,22.0,20,18,18,21.0,21.0,20.0,18,19,19.0,6,6,9
20,Exp-VD,8.0,5.0,5.0,5,4,4,4.0,3.0,3.0,7,7,7.0,9,8,8
21,LDD,8.0,12.0,12.0,8,10,10,13.0,14.0,15.0,11,10,11.0,1,1,1
22,Orig,1.0,1.0,1.0,1,1,1,,,,1,1,,22,21,20
23,P-FTD,,,,6,7,7,2.0,2.0,2.0,3,3,3.0,2,4,2
