,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,Transformer,2022-01-01,2024-01-01,1,634.7094871,676.7098885,616.9672375,713.8518579,96036395.35,485.1409483,522.3922372,469.1604305,553.7090662,65564125.51,2.351826211,2.519263053,2.281239191,2.680636458,41.71549097,1.961335832,2.050168587,1.924399621,2.15580126,76.59863625
1,^GSPTSE,Transformer,2022-01-01,2024-01-01,2,388.9206991,426.9490271,354.4832469,419.0180968,94920495.28,289.3305434,325.5188513,256.6352269,319.4604281,65316459.64,1.401294772,1.568965682,1.246040615,1.545359306,41.70759454,1.243350435,1.314387712,1.17279607,1.294452558,76.10585368
2,^GSPTSE,Transformer,2022-01-01,2024-01-01,3,481.2099145,517.3165844,452.9138807,533.7277409,94475241.93,363.1526836,396.7770107,337.176556,411.0524188,64387665.23,1.759413009,1.912669855,1.638045829,1.98902772,41.08516388,1.511975767,1.581098878,1.450918111,1.627719463,75.5814879
3,^GSPTSE,Transformer,2022-01-01,2024-01-01,4,939.833417,988.4893386,946.1384005,1074.648552,98352987.19,703.4970871,746.7723908,703.5232817,814.2633409,65643805.21,3.408218699,3.598819265,3.41850027,3.939297962,41.38665593,2.98975608,3.0892956,3.042111904,3.358778755,76.66524641
4,^GSPTSE,Transformer,2022-01-01,2024-01-01,5,687.0838157,744.5557625,668.7806429,806.0050267,97214163.88,518.9145999,567.2713869,501.8875581,617.4781832,65332740.45,2.514799491,2.734663974,2.439570915,2.988272589,41.44168,2.15636409,2.297006092,2.120988027,2.477190652,76.43836629
5,^GSPTSE,Transformer,2022-01-01,2024-01-01,6,937.3987357,998.7247771,948.773413,1087.012181,97466906.67,717.7036877,767.0604159,722.1315847,843.9223029,64740400.55,3.479504216,3.698642077,3.51150383,4.086063649,40.46479857,2.894608314,3.053858674,2.961614553,3.283666386,73.67671417
6,^GSPTSE,Transformer,2022-01-01,2024-01-01,7,511.3206256,542.1305756,474.8723264,547.3082311,94361986.35,394.978971,418.8239993,357.2995348,428.789365,64683939.47,1.914662872,2.019185741,1.736034208,2.075723281,41.35462849,1.551908683,1.638124272,1.498711316,1.622986732,75.99628618
7,^GSPTSE,Transformer,2022-01-01,2024-01-01,8,870.2487354,921.3762495,859.6324415,997.9054661,96763267.34,670.2129591,709.5572583,655.611791,777.4444102,64319742.09,3.249768548,3.42161153,3.188202277,3.764539899,40.43669338,2.664192898,2.806508037,2.675733141,2.998518485,74.04861858
8,^GSPTSE,Transformer,2022-01-01,2024-01-01,9,972.540062,1019.689071,988.2716646,1132.172448,96153062.14,761.1188735,799.2616765,767.9530525,898.8880096,63178734.4,3.692390183,3.856430212,3.736603012,4.355245412,39.66351645,2.905024311,3.021956697,2.993024153,3.29714393,73.03790095
9,^GSPTSE,Transformer,2022-01-01,2024-01-01,10,505.4248821,534.587435,467.4152699,540.1753266,94569871.19,389.8283404,412.4163644,350.6755805,422.3761029,65160594.71,1.889611817,1.988206742,1.703715341,2.044549669,41.650977,1.537489562,1.618677002,1.480765793,1.60686742,76.21667718
