,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,Transformer,2022-01-01,2024-01-01,1,541.1637550065795,569.5335695422153,535.5879156707269,573.2637797874604,93550355.8884289,415.15122298317993,436.0601293000064,416.96012716699687,433.9069530505509,63187470.793407336,2.0184309074154463,2.107937096059516,2.0344362904559032,2.10432042468992,40.161298564646486,1.6616052895329674,1.7434746096404334,1.6142241409147626,1.7885134061487724,73.2702238141667
1,^GSPTSE,Transformer,2022-01-01,2024-01-01,2,288.3002573039767,315.57406698735537,270.31144653020453,307.24667615383265,90215065.32375789,220.0621819559412,248.09314429001387,220.89344001473108,233.4428116303072,55454777.87616238,1.0692118369940873,1.199223724490925,1.079011465505599,1.1314449101055852,34.70323599525999,0.8906643338421326,0.9260420298950538,0.7457484757940588,0.9522801408074644,70.18991714670736
2,^GSPTSE,Transformer,2022-01-01,2024-01-01,3,528.2078253091427,553.1487321081057,525.008402653147,556.8174535585238,90950563.28315476,402.8408100645973,422.33067047019466,422.45666071183297,417.3028632389114,58872757.700316265,1.957865033967272,2.041197917309546,2.061876646728806,2.0230385858719866,37.37904470769696,1.6329196943623152,1.6975346293631857,1.4897696849150286,1.7576188635964891,72.01777416118045
3,^GSPTSE,Transformer,2022-01-01,2024-01-01,4,259.41969058906426,267.3206291522875,273.6167086214949,260.7744269579751,89583745.28995548,230.7826177244686,236.20150601281955,244.9742753000952,222.95378553132724,55261255.44035927,1.1308879060388757,1.1511414786534275,1.2067433911248684,1.0895118974694686,34.55203576832855,0.5780098172016058,0.6053026340649483,0.6024553256069343,0.6546288657489115,69.31535701924564
4,^GSPTSE,Transformer,2022-01-01,2024-01-01,5,346.31051654352484,348.22720776687544,367.39349050543416,346.556750246839,88914301.94561438,305.12687622790435,304.14721272189854,324.98285741471165,295.20150322191853,54787473.55820883,1.4958467542259066,1.4824163026424753,1.6000239771421048,1.4432025293928594,34.26054359224385,0.7973772288843278,0.8174496450041502,0.8409368706439038,0.877312824803937,68.38145646449631
5,^GSPTSE,Transformer,2022-01-01,2024-01-01,6,721.9048173691592,738.6651404099282,709.9762327611149,749.6601644007594,88327038.09328012,545.0931731939365,556.2947710046684,535.1711442758946,558.0777342215423,53092337.97910838,2.643822589428826,2.6837595987097025,2.6038519765823667,2.7011169068103955,32.68686140470017,2.2581582274168803,2.307734132668403,2.2308283592950304,2.3858531282049937,65.72067386887205
6,^GSPTSE,Transformer,2022-01-01,2024-01-01,7,1075.2857827341245,1088.1182102186438,1067.0483776986189,1119.2968704720852,86935042.6723464,844.1936198750246,853.6370793148562,829.7019040048466,886.2680024135575,53548718.94630388,4.095491052783589,4.118701058787506,4.036588719331406,4.293161062424675,33.54823297423523,3.189167493520069,3.214591889715072,3.221053109351457,3.2673038862757924,67.06658913338121
7,^GSPTSE,Transformer,2022-01-01,2024-01-01,8,619.5335974239351,644.8167564861409,607.5080336216474,654.2240578749306,90807268.5003375,471.0427933729428,489.97074151525936,461.023495136824,490.9326748633338,58553398.88950613,2.285078280230591,2.364155611074307,2.2435591393409715,2.3765668850332604,36.86810855572772,1.9189757363714663,1.989619057402069,1.890836644173488,2.060080387820209,69.3151085083382
8,^GSPTSE,Transformer,2022-01-01,2024-01-01,9,582.9809303821083,594.76320352617,603.2147937098316,620.4435164000413,92820349.88745251,406.2816961217,419.75382447309,424.9026260225192,426.1890227972377,59823601.54533549,1.9685970737672247,2.023247437168941,2.065740527462635,2.060302499275413,37.44008070875964,1.9982149476642903,2.004448964163652,2.0486332594322976,2.1509005816774853,69.65849661256257
9,^GSPTSE,Transformer,2022-01-01,2024-01-01,10,244.76732408618955,267.90566870315035,239.90630380727592,240.3993813527614,92014024.63244504,204.2478448542676,221.1852210391144,212.7621501235631,199.9656676397541,60706046.97286157,0.9970722964038392,1.073094419785019,1.04594165405547,0.975045150909718,38.4421865942383,0.6488482905608676,0.7208083811786775,0.5420558902637911,0.641342226013652,72.84124272243633
