,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,Transformer,2022-01-01,2024-01-01,1,1048.391437,1098.456466,1000.100843,1198.951713,90321533.07,866.4272704,908.9520456,821.292587,1003.007251,52075036.5,4.21066244,4.393742138,4.002891783,4.868087004,30.45496232,2.828171411,2.938757562,2.741127879,3.141114993,62.92002637
1,^GSPTSE,Transformer,2022-01-01,2024-01-01,2,1121.317753,1162.648688,1033.312264,1290.73814,90002054.38,928.5117228,963.6049324,847.8665715,1081.957323,52049099.79,4.512159352,4.65769807,4.13175762,5.251031372,30.75317156,3.006867915,3.094607143,2.832493689,3.359563318,63.30975646
2,^GSPTSE,Transformer,2022-01-01,2024-01-01,3,733.9373366,788.1274671,653.3873842,862.9842464,90213251.59,572.9513445,618.1042302,499.188824,689.5644805,52193930.85,2.778720067,2.981856941,2.42693519,3.340919054,30.51024983,2.197075197,2.330337286,2.024111654,2.480078882,62.47978279
3,^GSPTSE,Transformer,2022-01-01,2024-01-01,4,842.2701187,894.0255194,757.8454112,985.5295716,89891623.73,668.3596524,710.6906389,593.8728447,796.1334032,51473195.29,3.243720624,3.430652704,2.89000064,3.859387614,30.25414095,2.458144477,2.587779466,2.263411798,2.780647703,62.83547092
4,^GSPTSE,Transformer,2022-01-01,2024-01-01,5,1163.486319,1209.153944,1096.780955,1322.206059,89760399.63,931.6896884,970.9669219,866.6958538,1073.09446,51640831.41,4.522841788,4.688405589,4.218703583,5.202522783,30.38256086,3.336232445,3.431053606,3.226547503,3.690533056,62.63836089
5,^GSPTSE,Transformer,2022-01-01,2024-01-01,6,992.7150656,1054.025272,912.7097796,1163.973037,90233014.69,801.7448039,854.0305426,728.1456572,955.6368832,51600513.77,3.893501547,4.125387435,3.545814895,4.63531194,29.92586015,2.807646107,2.946243148,2.646808383,3.180315929,61.893108
6,^GSPTSE,Transformer,2022-01-01,2024-01-01,7,1224.691675,1270.130711,1149.877506,1392.845718,89825687.62,1012.523132,1051.164511,943.3568579,1163.768068,52074295.92,4.920492851,5.080981071,4.597448497,5.647798675,30.95643774,3.2976316,3.393543855,3.155410316,3.655614685,63.94312526
7,^GSPTSE,Transformer,2022-01-01,2024-01-01,8,1099.477761,1172.576945,1027.472205,1319.992673,89916833.75,906.5728723,969.1091456,841.1012683,1103.687725,51551621.54,4.406175766,4.685013296,4.09985396,5.357433952,30.32956103,2.985545784,3.149791474,2.840068162,3.467285538,63.2077943
8,^GSPTSE,Transformer,2022-01-01,2024-01-01,9,1520.852984,1580.273282,1433.613177,1752.997216,89558457.21,1273.260001,1324.060318,1195.128258,1482.016588,53219245.98,6.190259584,6.402889714,5.827515629,7.195285243,32.48304885,3.977692309,4.102143628,3.79625815,4.468424127,65.37859635
9,^GSPTSE,Transformer,2022-01-01,2024-01-01,10,998.209708,1052.384643,907.4803633,1195.949128,90259299.15,817.1203197,863.0581192,734.4952064,994.7021656,52237931.88,3.969753128,4.17056883,3.578132072,4.826763174,30.67233811,2.747601937,2.869866221,2.560795432,3.175019979,62.99657643
10,^GSPTSE,Transformer,2022-01-01,2024-01-01,11,599.7453069,661.3571018,535.2862064,738.6191201,90610915.68,484.8794357,533.1138341,432.1311578,608.5867448,54358922.6,2.357665463,2.577522078,2.107917513,2.955468517,33.54439176,1.703608545,1.878519113,1.529309759,2.016707472,65.79651976
11,^GSPTSE,Transformer,2022-01-01,2024-01-01,12,534.3883236,591.4890159,467.809509,652.1740789,90044576.36,435.8168586,480.7138292,382.6415321,541.5816403,55462759.3,2.119947327,2.325076606,1.867288863,2.631090399,34.3583272,1.493404372,1.654922747,1.302845938,1.75153601,66.13920828
