,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,Transformer,2022-01-01,2024-01-01,1,610.9641137,653.2417939,592.2990691,688.9687963,95225324.93,462.0661506,501.0077754,444.7479548,533.089344,64001515.98,2.23880624,2.415175868,2.161175432,2.579982695,40.4872098,1.914155644,1.996532292,1.876822121,2.08597557,75.18385226
1,^GSPTSE,Transformer,2022-01-01,2024-01-01,2,411.9371089,450.3659602,380.5403732,445.8784459,95767919.3,303.8597108,340.266038,272.8951029,337.6906116,65673072.13,1.471406063,1.63972448,1.324766512,1.633329655,41.83791191,1.330000688,1.403152815,1.271665076,1.388905232,76.60335353
2,^GSPTSE,Transformer,2022-01-01,2024-01-01,3,556.8524561,594.7413865,533.9903481,621.5210635,96028689.44,411.9670946,447.0534631,389.128788,468.2694275,65051012.54,1.994811837,2.153757067,1.889363771,2.264440092,41.21100903,1.793828151,1.867933278,1.75477054,1.953398541,75.91096388
3,^GSPTSE,Transformer,2022-01-01,2024-01-01,4,662.8958445,702.7612675,646.033175,742.0822788,95668975.86,500.4074494,536.2067382,482.02958,569.4981192,64753049.11,2.424449995,2.584436105,2.341961986,2.755595486,40.8820821,2.083070015,2.165126517,2.065628309,2.276240413,74.98432904
4,^GSPTSE,Transformer,2022-01-01,2024-01-01,5,498.688771,556.6385419,468.7236903,588.9379797,95206095.7,374.5549055,424.6845918,345.882306,453.1129227,64390383.65,1.814737275,2.047162834,1.680398492,2.192646613,40.87829184,1.573671815,1.711536285,1.515439858,1.795330059,75.60591836
5,^GSPTSE,Transformer,2022-01-01,2024-01-01,6,639.8778662,698.5566378,644.2741402,728.4349346,95126123,479.1298031,529.8314126,475.5300466,556.9889767,63543185.1,2.320850259,2.553280439,2.30966578,2.694769988,40.19844264,2.031488651,2.16872422,2.086203595,2.244484289,75.40129791
6,^GSPTSE,Transformer,2022-01-01,2024-01-01,7,514.7547403,545.6802002,478.6138426,551.4155634,94359661.39,397.4911237,421.409668,360.0439583,431.8018367,64639258.09,1.926821872,2.031629672,1.749359706,2.090278239,41.32761271,1.563185607,1.649786268,1.510937769,1.636447583,75.99897505
7,^GSPTSE,Transformer,2022-01-01,2024-01-01,8,585.2354646,629.9020847,556.3181592,656.2393839,95680549.25,434.3886847,474.1156145,406.9164484,495.563647,64431208.59,2.10364016,2.284314885,1.976019902,2.396687977,40.86522482,1.876783666,1.974206342,1.81909314,2.054953029,76.07439622
8,^GSPTSE,Transformer,2022-01-01,2024-01-01,9,699.3752834,736.3031214,696.1034612,794.6948707,96002410.41,520.3963534,555.5095202,513.2113451,602.4926006,63956646.94,2.520318221,2.676640695,2.492668586,2.914219238,40.47248673,2.237901292,2.30185219,2.257398911,2.477556343,76.00971789
9,^GSPTSE,Transformer,2022-01-01,2024-01-01,10,505.0316326,534.1726203,466.9653257,539.6731047,94575225.87,389.4222406,412.0195536,350.2146324,421.8366789,65168212.74,1.887629102,1.986282426,1.701459527,2.041916251,41.65615463,1.536896174,1.617865014,1.480022509,1.606272385,76.22495535
10,^GSPTSE,Transformer,2022-01-01,2024-01-01,11,633.7279555,671.9369003,611.8564766,708.2376043,94362542.49,486.5923434,515.8751335,461.5555043,551.5695278,63887838.02,2.35848,2.486740357,2.242910887,2.669835271,40.66859495,1.942579993,2.050775109,1.926536212,2.12240378,75.52188601
11,^GSPTSE,Transformer,2022-01-01,2024-01-01,12,560.9951534,601.5729804,540.6449682,629.3114121,95066914.64,417.0976388,453.6681403,396.4405362,477.6769034,64073138.94,2.019959728,2.1858984,1.925197564,2.310460849,40.53703766,1.795088149,1.880489251,1.762669245,1.95661548,75.11021907
12,^GSPTSE,Transformer,2022-01-01,2024-01-01,13,545.3885328,577.2313405,510.9412965,587.2220328,94279990.05,424.4594311,449.0789225,388.9373161,464.4802512,64484225.73,2.058022279,2.165531857,1.890368924,2.249195961,41.22913261,1.636640873,1.72564622,1.587308389,1.713873724,75.91093309
13,^GSPTSE,Transformer,2022-01-01,2024-01-01,14,521.1878928,560.5284636,557.8641053,608.569225,97250711.98,387.426128,423.9939366,417.0861409,467.2703275,66859569.33,1.876768419,2.043764948,2.027045026,2.261509956,42.48112233,1.666291558,1.742948942,1.774021677,1.858351948,77.78194366
14,^GSPTSE,Transformer,2022-01-01,2024-01-01,15,581.8480287,623.1333409,560.4811293,657.0875835,94443607.08,435.3008675,471.9948985,413.1283371,500.8208191,63457339.46,2.108359142,2.274326168,2.0063663,2.422616133,40.22939723,1.849004918,1.938299518,1.81780781,2.033986965,74.82857809
15,^GSPTSE,Transformer,2022-01-01,2024-01-01,16,432.7982315,462.7229993,408.2227408,457.7198688,96195196.53,312.2343948,342.3672253,284.7189262,336.3741436,65951758.15,1.5110749,1.648945311,1.381128848,1.625694791,41.97001421,1.43331827,1.480572589,1.403024211,1.481331237,77.5268442
16,^GSPTSE,Transformer,2022-01-01,2024-01-01,17,573.4610961,602.2611885,531.7586492,619.9477544,93931071.05,448.5581839,470.7835487,406.9071289,493.5441437,63768349.65,2.175200221,2.270550435,1.97800709,2.390446791,40.75236163,1.707443359,1.78702735,1.639876685,1.789219959,75.51042123
17,^GSPTSE,Transformer,2022-01-01,2024-01-01,18,545.8418194,583.1777054,527.6004597,594.1969424,95609028.26,401.03094,435.8233922,380.8643623,444.1168833,64901196.61,1.941399189,2.09922395,1.84864802,2.147068194,41.20921135,1.772442334,1.844963117,1.751465607,1.88610693,76.27407357
18,^GSPTSE,Transformer,2022-01-01,2024-01-01,19,509.6182225,538.7386696,477.7721723,535.4534291,94403943.93,393.2757546,415.7293941,359.6345625,417.7720015,64739054.04,1.906352504,2.00419544,1.747399734,2.02212444,41.38875342,1.549020813,1.630634888,1.507018791,1.598403966,76.03613253
