,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,Transformer,2022-01-01,2024-01-01,1,278.7861601895256,326.46137657699666,271.1085762897644,302.6270455562706,93684615.63891213,227.27268832704115,267.5036928489334,235.10112580663045,245.6250836498833,63325029.76088341,1.1082286830582904,1.2961068430198908,1.1522766245094511,1.1943962576068454,39.97422355195157,0.7778639119932466,0.8923894962606769,0.6539287661242064,0.8471132796704063,72.50250894681925
1,^GSPTSE,Transformer,2022-01-01,2024-01-01,2,225.65480733487905,240.86101722662005,222.0181192711937,227.6631278745402,92672540.3552235,187.652883592402,206.2965894168605,198.52688362429387,191.18703277356835,60779813.372939,0.9159574898824984,1.0018745671983935,0.9750433176079067,0.9314283552236864,38.091392220300726,0.6048529095581962,0.594320365399726,0.485387532088501,0.5935370776783433,69.90797560291908
2,^GSPTSE,Transformer,2022-01-01,2024-01-01,3,247.482929046324,278.3817321228136,243.3566081268214,267.18572521462363,91454008.46584384,210.465405704794,237.2377946719851,217.8867000769779,223.2502192984996,59332875.86330138,1.0287899051761222,1.1523240805022603,1.0713321903879236,1.087718997118294,37.50640419444202,0.6310567309278603,0.6972022882145212,0.5330023491071976,0.7058202481215239,70.79878060793833
3,^GSPTSE,Transformer,2022-01-01,2024-01-01,4,212.17608968158976,221.5126245613772,245.43056160835943,214.9301210146724,92500483.46962674,182.19578964261297,188.55807186775965,218.1823426666171,181.78776084211785,59821531.77693941,0.8963203481491251,0.9224062473641929,1.0767311273383997,0.8915769540319838,37.2529071529294,0.5415775101682045,0.5736758674159183,0.5624146037981603,0.5660598841766046,69.48686266602792
4,^GSPTSE,Transformer,2022-01-01,2024-01-01,5,222.7447944286835,221.6007436084948,250.18970241794605,214.0492185917063,90327504.7934332,186.6566162682792,184.83624489660008,207.7852357638494,175.5750777803748,56334118.41158292,0.9210312560228812,0.9063127027654214,1.029721963569072,0.864050126674335,35.31489581269704,0.6077238940610143,0.6062568187726017,0.6981294002771318,0.6092263712413035,68.41378124139946
5,^GSPTSE,Transformer,2022-01-01,2024-01-01,6,277.16111953105843,302.67199565251696,262.5802168673889,297.7495852404061,89161084.47993222,224.7696017828006,252.80616535677183,228.7638795176113,239.68406098923623,54156768.918675154,1.0953245865319403,1.2258934857094002,1.1210007387091123,1.1650410841104697,33.56466355920206,0.7794922952383535,0.793292713445991,0.6226900020619052,0.8456089339207548,65.53346423354502
6,^GSPTSE,Transformer,2022-01-01,2024-01-01,7,405.1661716077703,431.5124065527565,376.4230154270215,430.3861967276101,89539045.4240847,311.37124689610766,335.7011775613349,285.5879904030769,337.6474103945248,54741911.64590612,1.509624535376438,1.6193568085757457,1.3885437069110178,1.6349379633248198,33.87579050812668,1.2394699384267849,1.2894597217978834,1.1753286574068418,1.273320364246822,66.09982032557046
7,^GSPTSE,Transformer,2022-01-01,2024-01-01,8,238.81616932131183,266.62883618089563,231.2314056682215,254.3486729498105,90234706.32570904,201.8608349397164,227.791626924706,206.88193394996705,211.8960549049784,57199498.95562506,0.9859201919478024,1.1061059103368414,1.0163721566678254,1.0320487220368957,35.93225138149111,0.6165756301140307,0.6622675179022605,0.505347411931036,0.6758050807512709,69.09177981274105
8,^GSPTSE,Transformer,2022-01-01,2024-01-01,9,318.4218693424777,380.5119299325789,294.6556363903189,361.0486577236298,90436717.82422468,248.9372451170696,304.3038253726416,239.304157298274,285.1477911303085,57316508.478993945,1.2104025921171122,1.4713757888684458,1.1692030815757877,1.3835410167422624,36.09867601482866,0.9512889534600104,1.0860145144092015,0.827232398215909,1.0575454957549435,69.48096563290203
9,^GSPTSE,Transformer,2022-01-01,2024-01-01,10,264.9101555277056,302.95316939142685,239.49325046815025,268.74717572083284,94993904.91454507,215.3835166932388,251.111057372431,213.3668942575717,222.53490871463,64465639.837980464,1.0492286899711551,1.216369683391355,1.0464760175045955,1.082735517243611,41.05576396932744,0.7404348347423976,0.8060001449395752,0.5267801415191039,0.7215070211550361,75.37932105976444
