,Stock,Type,Start Date,End Date,Seed,Open (RMSE),High (RMSE),Low (RMSE),Close (RMSE),Volume (RMSE),Open (MAE),High (MAE),Low (MAE),Close (MAE),Volume (MAE),Open (MAPE),High (MAPE),Low (MAPE),Close (MAPE),Volume (MAPE),Open (SDAPE),High (SDAPE),Low (SDAPE),Close (SDAPE),Volume (SDAPE)
0,^GSPTSE,Transformer,2022-01-01,2024-01-01,1,825.7193923,878.5835987,780.9379598,953.5546418,94766069.76,671.6357483,715.9000925,629.9430141,788.3072084,57810294.61,3.261980166,3.458349254,3.068220987,3.824056744,34.0974395,2.301138907,2.42647257,2.217107793,2.564965275,63.17859305
1,^GSPTSE,Transformer,2022-01-01,2024-01-01,2,828.299043,874.0071951,736.8190222,975.4073194,94836218.79,688.803228,726.4593591,604.400145,823.0605933,57817738.04,3.347812457,3.511766429,2.945336424,3.995456578,34.52065722,2.202510634,2.313608049,2.023439406,2.500615984,64.1859434
2,^GSPTSE,Transformer,2022-01-01,2024-01-01,3,558.0839729,613.7065454,475.854915,667.967685,95839354.36,449.2500845,494.6045938,375.5426609,551.0979393,58837443.05,2.181179652,2.388490024,1.827908398,2.673189406,35.08560163,1.587620137,1.733218659,1.404930539,1.806169333,64.70007984
3,^GSPTSE,Transformer,2022-01-01,2024-01-01,4,627.5300865,681.6098652,546.7913914,749.7074598,94617095.49,495.437243,537.3689808,427.1567966,603.4987466,57581172.37,2.404193051,2.593352038,2.07863431,2.925313947,34.25217688,1.848309688,2.002623077,1.641780016,2.131664366,63.64830261
4,^GSPTSE,Transformer,2022-01-01,2024-01-01,5,740.6159538,792.3649979,658.0241424,859.2339219,94021285.11,594.1562355,636.5466702,517.428091,702.2335723,56709353.07,2.884564216,3.073713907,2.518393228,3.405401894,33.38810407,2.120587203,2.250874697,1.955743261,2.370077165,62.21108373
5,^GSPTSE,Transformer,2022-01-01,2024-01-01,6,685.166763,749.7474849,612.6620544,827.9141079,94917046.9,545.4071062,599.7243802,478.8661913,676.0359889,57617968.1,2.647030278,2.895316896,2.330031816,3.278028103,33.7664556,1.988302446,2.145559964,1.837041668,2.28631695,62.17528417
6,^GSPTSE,Transformer,2022-01-01,2024-01-01,7,895.0988145,944.2087291,814.2379892,1032.943984,95379121.47,737.8828165,779.0229847,663.4415549,864.3309574,58597501.21,3.585215831,3.764801017,3.232306391,4.194506041,34.90574724,2.425512498,2.539851211,2.26604701,2.702056499,64.20091487
7,^GSPTSE,Transformer,2022-01-01,2024-01-01,8,768.1841881,843.1507178,703.6037755,951.8420586,96008665.23,621.2859837,685.5828672,561.038587,789.0283005,59079589.01,3.016888019,3.311678244,2.731612027,3.827973608,35.05325402,2.165147393,2.33895934,2.040692369,2.545761196,63.8928594
8,^GSPTSE,Transformer,2022-01-01,2024-01-01,9,1082.45954,1146.768173,1011.873798,1275.891228,94684936.28,909.6182874,963.9075942,846.0157007,1086.307739,58309336.65,4.42274367,4.661572051,4.125574358,5.275275101,35.05495506,2.807650988,2.955636906,2.663440588,3.195475619,64.9849504
9,^GSPTSE,Transformer,2022-01-01,2024-01-01,10,680.2586573,751.3055602,606.74115,858.8581928,93499671.51,548.8955853,606.1321757,479.0414607,709.038585,56625974.95,2.665101135,2.927090347,2.331585328,3.43931812,33.45917322,1.925536292,2.11613718,1.789741816,2.317549817,62.93903964
